Feature,Status,Evidence,Explanation,Issues,Recommendations
Time Tracking,⚠️ Partial,"server time APIs (start/stop/get…), analytics endpoints; UI widgets (timer, import dialog)",Core endpoints + summaries exist; approvals/invoice linking coded.,No desktop 'approve+bulk add to invoice' path; permissions not enforced on all lists.,Add Review & Approve table; lock edits by role; bulk 'Add to Invoice' action in desktop.
Workflow Automation,⚠️ Partial,workflowRules/workflowExecutions tables; routes for CRUD/execute,CRUD+execute present; visual builder unclear.,No drag-drop UI; background runner for events limited.,Ship node/edge rule canvas; subscribe task/issue events; retries & dead-letter queue.
AI Content Generation,⚠️ Partial,AI routes (generate-proposal/content); agency endpoints,Endpoints robust; depends on OpenAI keys.,No rate limits/cost guards; error UX thin.,Add quotas/tokens meter; queue long jobs; surface failures gracefully.
Invoice Builder,⚠️ Partial,"invoices CRUD, PDF, send, payment links; Stripe webhook",Full flow coded; Stripe config required.,Duplicate send variants; totals calc scattered; status transitions inconsistent.,Consolidate send; centralize totals; sandbox toggle; refund/cancel hooks; status chips.
Task Management,✅ Working,"tasks schema (priority, deps, subtasks), routes, bulk ops",CRUD + deps + bulk + UI lists/grids present.,No dependency graph visual.,Add graph view; SLA/overdue badges; quick-assign; keyboard triage.
Agent KPI & Graduation,⚠️ Partial,agentKpis/visibility flags; switchboard service; admin routes,Backend complete; UI exposure flags present.,No trend charts; audits not surfaced in UI.,Add KPI line charts; promotion audit drawer; criteria editor.
Pricing & Feature Flags,⚠️ Partial,PricingTable component; env flags,UI present; server-side gating light.,Features accessible regardless of tier.,Middleware to enforce plan; attach plan to user; tests.
Notifications (email/SMS),⚠️ Partial,smartNotificationsService; SendGrid/Twilio hooks,Framework exists; keys needed.,No delivery dashboard; no retries.,Outbox + status UI; queue with retries/backoff.
User Management & RBAC,✅ Working,auth routes; permissions-service; audits,Admin-only routes guarded; user CRUD ok.,Some routes rely only on requireAuth.,Expand requirePermission coverage; impersonation audit.
Command Palette,✅ Working,CommandPalette.tsx; /api/search,Searchable commands functional.,Relevance basic; no recency weighting.,Boost based on recent/frequent; keyboard hints.
